date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:38	36/36	---M--	200	added ('OK')	text/plain	etag:%22d5b18-24-4696be7125c80%22	http://stanton.ice.put.poznan.pl/robots.txt		(from )
10:10:39	8492/8492	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:41%20GMT	http://stanton.ice.put.poznan.pl/nowak/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/index.html	(from )
10:10:39	42/42	---M--	200	added ('OK')	text/plain	date:Thu,%2026%20Jan%202017%2009:10:41%20GMT	http://stanton.ice.put.poznan.pl/nowak/xmlrpc.php	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/xmlrpc.php	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:39	11720/11720	---M--	200	added ('OK')	text/css	etag:%22dd900-2dc8-43c954f5aff80%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:40	4218/4218	---M--	200	added ('OK')	text/css	etag:%22dd90e-107a-43c3bc04f4480%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/switch.css	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/switch.css	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:40	1141/1141	---M--	200	added ('OK')	text/xml	etag:%22ef4ba2d35f0a8ad333978d0204ee9d62%22	http://stanton.ice.put.poznan.pl/nowak/feed/rss/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/feed/rss/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:40	3097/3097	---M--	200	added ('OK')	text/xml	etag:%22ef4ba2d35f0a8ad333978d0204ee9d62%22	http://stanton.ice.put.poznan.pl/nowak/feed/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/feed/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:40	924/924	---M--	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202017%2009:10:42%20GMT	http://stanton.ice.put.poznan.pl/nowak/xmlrpc.php?rsd	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/xmlrpc0db0.php	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:40	3468/3468	---M--	200	added ('OK')	application/atom+xml	etag:%22ef4ba2d35f0a8ad333978d0204ee9d62%22	http://stanton.ice.put.poznan.pl/nowak/feed/atom/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/feed/atom/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:40	1053/1053	---M--	200	added ('OK')	text/xml	etag:%22db63b-41d-45966571e9180%22	http://stanton.ice.put.poznan.pl/nowak/wp-includes/wlwmanifest.xml	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-includes/wlwmanifest.xml	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:41	9755/9755	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:42%20GMT	http://stanton.ice.put.poznan.pl/nowak/2007/12/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/2007/12/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:41	1173/1173	---M--	200	added ('OK')	text/xml	etag:%22ecf41da45f3e4ab6ed617e8f2dd360aa%22	http://stanton.ice.put.poznan.pl/nowak/about/feed/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/about/feed/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:44	15287/15287	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:43%20GMT	http://stanton.ice.put.poznan.pl/nowak/projekt-ncn/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/projekt-ncn/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:44	10108/10108	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:44%20GMT	http://stanton.ice.put.poznan.pl/nowak/projekt-ncbr-2016-2017/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/projekt-ncbr-2016-2017/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:44	52606/52606	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:43%20GMT	http://stanton.ice.put.poznan.pl/nowak/publications/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/publications/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:44	709/709	---M--	200	added ('OK')	image/gif	etag:%22dd91c-2c5-422a07a407900%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_body.gif	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_body.gif	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:45	12389/12389	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:47%20GMT	http://stanton.ice.put.poznan.pl/nowak/gallery/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/gallery/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:46	7733/7733	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:48%20GMT	http://stanton.ice.put.poznan.pl/nowak/pictures/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/pictures/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:47	7117/7117	---M--	200	added ('OK')	image/jpeg	etag:%22dd914-1bcd-422a079a7e280%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_3.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_3.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:48	17518/17518	---M--	200	added ('OK')	image/jpeg	etag:%22dd919-446e-422a079a7e280%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_2.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_2.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:50	11773/11773	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:50%20GMT	http://stanton.ice.put.poznan.pl/nowak/studenci/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/studenci/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:50	9822/9822	---M--	200	added ('OK')	image/jpeg	etag:%22dd918-265e-422a079c66700%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_4.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_4.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:50	34083/34083	---M--	200	added ('OK')	image/jpeg	etag:%22dd917-8523-422a079a7e280%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_1.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_1.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:50	1241/1241	---M--	200	added ('OK')	text/xml	etag:%22ecf41da45f3e4ab6ed617e8f2dd360aa%22	http://stanton.ice.put.poznan.pl/nowak/comments/feed/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/comments/feed/index.html	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:51	9159/9159	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:52%20GMT	http://stanton.ice.put.poznan.pl/nowak/2007/12/15/current-information/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/2007/12/15/current-information/index.html	(from http://stanton.ice.put.poznan.pl/nowak/2007/12/)
10:10:52	9887/9887	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:53%20GMT	http://stanton.ice.put.poznan.pl/nowak/category/current/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/category/current/index.html	(from http://stanton.ice.put.poznan.pl/nowak/2007/12/)
10:10:53	8839/8839	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:54%20GMT	http://stanton.ice.put.poznan.pl/nowak/2007/12/14/hello-world/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/2007/12/14/hello-world/index.html	(from http://stanton.ice.put.poznan.pl/nowak/2007/12/)
10:10:55	23198/23198	---M--	200	added ('OK')	image/jpeg	etag:%22dd913-5a9e-422a079e4eb80%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_6.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_6.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
